coils,radius,shell
0,1,protoconch
0.125,1,protoconch
0.25,1,protoconch
0.375,1.25,protoconch
0.5,1.25,protoconch
0.625,1.65,protoconch
0.75,2.5,protoconch
0.875,3.25,protoconch
1,4,protoconch
1.125,4,protoconch
1.25,4.15,protoconch
1.375,4,protoconch
1.5,4,protoconch
1.625,4.75,protoconch
1.75,5.5,protoconch
1.875,6.5,protoconch
2,6.5,protoconch
2.125,6.25,protoconch
2.25,6.5,protoconch
2.375,7,protoconch
2.5,8,protoconch
2.625,7.75,protoconch
2.75,8.5,protoconch
2.875,8.75,protoconch
3,9.25,protoconch
3.125,8.85,protoconch
3.25,8.85,protoconch
3.375,10,teleoconch
3.5,11.5,teleoconch
3.625,12.25,teleoconch
3.75,12.85,teleoconch
3.875,12.5,teleoconch
4,12.15,teleoconch
4.125,12,teleoconch
4.25,13,teleoconch
4.375,15,teleoconch
4.5,17,teleoconch
4.625,19.15,teleoconch
4.75,19.5,teleoconch
4.875,18.5,teleoconch
5,18.5,teleoconch
5.125,18.5,teleoconch
5.25,20.5,teleoconch
5.375,23.25,teleoconch
5.5,26,teleoconch
5.625,27.25,teleoconch
5.75,28,teleoconch
5.875,27,teleoconch
6,27.25,teleoconch
6.125,27,teleoconch
6.25,29.5,teleoconch
6.375,32.5,teleoconch
6.5,36,teleoconch
6.625,38,teleoconch
